"消費者物價基本分類暨項目群指數-月 依 期間, 基本分類暨項目群 與 種類",
,
 ,總指數
 ,原始值
2010M01,93.13
2010M02,93.62
2010M03,92.73
2010M04,93.51
2010M05,93.36
2010M06,93.68
2010M07,93.97
2010M08,93.98
2010M09,94.08
2010M10,94.7
2010M11,94.88
2010M12,94.16
2011M01,94.15
2011M02,94.86
2011M03,94.03
2011M04,94.73
2011M05,94.91
2011M06,95.5
2011M07,95.22
2011M08,95.25
2011M09,95.37
2011M10,95.88
2011M11,95.86
2011M12,96.07
2012M01,96.37
2012M02,95.09
2012M03,95.21
2012M04,96.09
2012M05,96.57
2012M06,97.19
2012M07,97.56
2012M08,98.51
2012M09,98.19
2012M10,98.12
2012M11,97.38
2012M12,97.62
2013M01,97.45
2013M02,97.91
2013M03,96.5
2013M04,97.1
2013M05,97.28
2013M06,97.77
2013M07,97.62
2013M08,97.74
2013M09,99.02
2013M10,98.75
2013M11,98.04
2013M12,97.95
2014M01,98.25
2014M02,97.87
2014M03,98.05
2014M04,98.71
2014M05,98.86
2014M06,99.37
2014M07,99.34
2014M08,99.77
2014M09,99.72
2014M10,99.79
2014M11,98.88
2014M12,98.54
2015M01,97.33
2015M02,97.67
2015M03,97.45
2015M04,97.9
2015M05,98.14
2015M06,98.81
2015M07,98.71
2015M08,99.33
2015M09,100.01
2015M10,100.1
2015M11,99.41
2015M12,98.67
2016M01,98.12
2016M02,100.02
2016M03,99.41
2016M04,99.73
2016M05,99.35
2016M06,99.7
2016M07,99.93
2016M08,99.89
2016M09,100.35
2016M10,101.8
2016M11,101.37
2016M12,100.34
2017M01,100.32
2017M02,99.96
2017M03,99.59
2017M04,99.83
2017M05,99.94
2017M06,100.7
2017M07,100.7
2017M08,100.85
2017M09,100.84
2017M10,101.46
2017M11,101.71
2017M12,101.56
2018M01,101.21
2018M02,102.16
2018M03,101.17
2018M04,101.83
2018M05,101.69
2018M06,102.11
2018M07,102.47
2018M08,102.4
2018M09,102.57
2018M10,102.64
2018M11,102.01
2018M12,101.5
2019M01,101.39
2019M02,102.38
2019M03,101.74
2019M04,102.5
2019M05,102.64
2019M06,102.98
2019M07,102.86
2019M08,102.84
2019M09,103
2019M10,103.02
2019M11,102.6
2019M12,102.66
,
(http://www.stat.gov.tw/lp.asp?ctNode=486&CtUnit=331&BaseDSD=7) more ,
(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-,
at=11) 國情統計通報 ,
1.項目群月指數自2013年1月起發布。 ,
2.當月該項水果若非屬產季，則指數及年增率欄以「-」列示。 ,
3.109年4月國外旅遊團費指數因無任何報價，依國際勞工組織(InternationalL-,
aborOrganization)之CPI編製手冊規範，以同月國內旅遊團費之月增率設算編?,
s。 ,
 ,
