"期間","貨幣總計數-Ｍ１Ｂ-原始值"
"1987M05","1,272,091"
"1987M06","1,315,265"
"1987M07","1,295,869"
"1987M08","1,323,996"
"1987M09","1,371,340"
"1987M10","1,430,414"
"1987M11","1,462,288"
"1987M12","1,563,139"
"1988M01","1,557,947"
"1988M02","1,577,861"
"1988M03","1,573,283"
"1988M04","1,611,046"
"1988M05","1,650,004"
"1988M06","1,714,722"
"1988M07","1,711,165"
"1988M08","1,733,621"
"1988M09","1,773,292"
"1988M10","1,825,764"
"1988M11","1,836,266"
"1988M12","1,945,181"
"1989M01","2,011,365"
"1989M02","1,989,999"
"1989M03","2,051,402"
"1989M04","1,943,944"
"1989M05","1,788,647"
"1989M06","1,841,553"
"1989M07","1,828,044"
"1989M08","1,880,470"
"1989M09","1,894,702"
"1989M10","1,924,856"
"1989M11","1,908,964"
"1989M12","2,062,782"
"1990M01","2,167,362"
"1990M02","2,034,480"
"1990M03","1,872,538"
"1990M04","1,836,055"
"1990M05","1,831,065"
"1990M06","1,815,628"
"1990M07","1,778,171"
"1990M08","1,764,370"
"1990M09","1,750,874"
"1990M10","1,777,147"
"1990M11","1,800,216"
"1990M12","1,925,647"
"1991M01","1,944,519"
"1991M02","1,984,114"
"1991M03","1,955,552"
"1991M04","1,938,504"
"1991M05","1,913,760"
"1991M06","2,063,069"
"1991M07","1,966,336"
"1991M08","1,945,376"
"1991M09","1,964,416"
"1991M10","1,998,317"
"1991M11","1,999,391"
"1991M12","2,158,413"
"1992M01","2,367,483"
"1992M02","2,243,131"
"1992M03","2,260,707"
"1992M04","2,262,483"
"1992M05","2,303,778"
"1992M06","2,359,172"
"1992M07","2,300,234"
"1992M08","2,263,434"
"1992M09","2,254,773"
"1992M10","2,285,212"
"1992M11","2,251,937"
"1992M12","2,425,843"
"1993M01","2,506,542"
"1993M02","2,432,569"
"1993M03","2,421,663"
"1993M04","2,388,705"
"1993M05","2,374,318"
"1993M06","2,522,150"
"1993M07","2,449,710"
"1993M08","2,421,375"
"1993M09","2,490,601"
"1993M10","2,510,575"
"1993M11","2,526,794"
"1993M12","2,797,140"
"1994M01","2,874,895"
"1994M02","2,823,712"
"1994M03","2,764,172"
"1994M04","2,781,959"
"1994M05","2,792,111"
"1994M06","2,971,637"
"1994M07","2,973,414"
"1994M08","2,912,580"
"1994M09","2,925,430"
"1994M10","2,966,859"
"1994M11","2,929,403"
"1994M12","3,139,270"
"1995M01","3,307,979"
"1995M02","3,075,837"
"1995M03","3,035,126"
"1995M04","3,002,782"
"1995M05","2,931,448"
"1995M06","3,084,932"
"1995M07","2,987,816"
"1995M08","2,990,838"
"1995M09","2,968,619"
"1995M10","2,992,863"
"1995M11","2,954,293"
"1995M12","3,163,101"
"1996M01","3,075,906"
"1996M02","3,156,834"
"1996M03","3,131,360"
"1996M04","3,094,550"
"1996M05","3,051,613"
"1996M06","3,315,622"
"1996M07","3,212,318"
"1996M08","3,102,176"
"1996M09","3,152,399"
"1996M10","3,165,809"
"1996M11","3,212,901"
"1996M12","3,426,058"
