DATE,TWEXBPA
2010/1/1,87.655
2010/2/1,88.6481
2010/3/1,87.7638
2010/4/1,87.1576
2010/5/1,89.3522
2010/6/1,89.7047
2010/7/1,88.2443
2010/8/1,87.4789
2010/9/1,86.5285
2010/10/1,84.1785
2010/11/1,84.2268
2010/12/1,84.8632
2011/1/1,83.8443
2011/2/1,83.2495
2011/3/1,82.555
2011/4/1,81.274
2011/5/1,81.294
2011/6/1,81.0863
2011/7/1,80.5208
2011/8/1,81.0682
2011/9/1,83.46
2011/10/1,84.0356
2011/11/1,84.5622
2011/12/1,85.2467
2012/1/1,84.5898
2012/2/1,83.3299
2012/3/1,83.6939
2012/4/1,83.8977
2012/5/1,85.1276
2012/6/1,86.2289
2012/7/1,85.7197
2012/8/1,85.1596
2012/9/1,84.0119
2012/10/1,83.8167
2012/11/1,84.0993
2012/12/1,83.3883
2013/1/1,83.266
2013/2/1,84.1226
2013/3/1,84.5212
2013/4/1,83.9251
2013/5/1,84.2258
2013/6/1,84.8774
2013/7/1,85.3251
2013/8/1,85.2633
2013/9/1,84.8615
2013/10/1,83.9076
2013/11/1,84.5661
2013/12/1,84.7464
2014/1/1,85.5269
2014/2/1,85.6968
2014/3/1,85.6206
2014/4/1,85.1966
2014/5/1,84.8808
2014/6/1,84.9584
2014/7/1,84.7193
2014/8/1,85.3542
2014/9/1,86.4823
2014/10/1,87.4385
2014/11/1,88.6746
2014/12/1,90.4614
2015/1/1,91.964
2015/2/1,93.1384
2015/3/1,94.8318
2015/4/1,93.8084
2015/5/1,93.1702
2015/6/1,93.959
2015/7/1,95.5444
2015/8/1,97.1718
2015/9/1,97.6601
2015/10/1,96.7364
2015/11/1,98.2176
2015/12/1,98.9911
2016/1/1,101.1672
2016/2/1,99.8781
2016/3/1,97.8761
2016/4/1,96.433
2016/5/1,97.495
2016/6/1,97.9256
2016/7/1,98.4625
2016/8/1,97.6919
2016/9/1,98.3665
2016/10/1,99.2993
2016/11/1,101.6476
2016/12/1,103.3297
2017/1/1,103.0893
2017/2/1,101.779
2017/3/1,101.0801
2017/4/1,100.0849
2017/5/1,99.5332
2017/6/1,98.2288
2017/7/1,96.7998
2017/8/1,95.8465
2017/9/1,95.1008
2017/10/1,96.6601
2017/11/1,96.8122
2017/12/1,96.4675
2018/1/1,94.3155
2018/2/1,94.7214
2018/3/1,95.0048
2018/4/1,94.999
2018/5/1,97.5243
2018/6/1,99.0216
2018/7/1,99.3349
2018/8/1,100.2812
2018/9/1,100.2619
2018/10/1,100.9126
2018/11/1,101.9838
2018/12/1,102.0031
2019/1/1,100.4012
2019/2/1,100.403
2019/3/1,100.7722
2019/4/1,100.7457
2019/5/1,101.6032
2019/6/1,101.1344
2019/7/1,100.9148
2019/8/1,102.8088
2019/9/1,102.7664
2019/10/1,102.2026
2019/11/1,101.9538
2019/12/1,101.4637
